310-to-yuma-2007,james-mangold,russell-crowe christian-bale logan-lerman dallas-roberts peter-fonda gretchen-mol ben-foster alan-tudyk vinessa-shaw lennie-loftin rio-alexander pat-ricotti shawn-howell johnny-whitworth kevin-durand ramon-frank deryle-j-lujan james-scotty-augare brian-duffy jason-rodriguez chris-browning chad-brummett forrest-fyre luke-wilson benjamin-petry arron-shiver sean-hennigan girard-swan christopher-berry david-oliver-2 jason-henning barbara-bartleson james-blackburn brian-brown-1 trevor-coppola harp-corrigan hugh-elliot darren-gibson kc-king melinda-kramer brent-lambert billy-lockwood j-nathan-simmons art-usher
10-things-i-hate-about-you,gil-junger,heath-ledger julia-stiles joseph-gordon-levitt larisa-oleynik david-krumholtz andrew-keegan susan-may-pratt gabrielle-union larry-miller daryl-mitchell allison-janney david-leisure greg-jackson kyle-cease terence-heuston cameron-fraser eric-riedmann quinn-maixner demegio-kimbrough todd-butler-1 dennis-mosley bianca-kajlich nick-vukelic ben-laurance aidan-kennedy jelani-quinn jesse-dyer aaron-therol carlos-lacamara heather-taylor joshua-thorpe jr-johnson wendy-gottlieb brian-hood travis-muller ari-karczag laura-kenny alice-evans-1 jesper-inglis nick-brown-2 monique-powell brian-mashburn kay-hanley michael-eisenstein
12-angry-men,sidney-lumet,henry-fonda martin-balsam john-fiedler lee-j-cobb eg-marshall jack-klugman edward-binns jack-warden joseph-sweeney ed-begley george-voskovec robert-webber rudy-bond james-kelly-1 billy-nelson john-savoca walter-stocker
twelve-monkeys,terry-gilliam,bruce-willis madeleine-stowe brad-pitt christopher-plummer david-morse jon-seda christopher-meloni joey-perillo-1 lisagay-hamilton-1 matt-ross annie-golden michael-chance-1 h-michael-walls-1 bob-adrian-1 bill-raymond ernest-abuba nell-johnson-1 rozwill-young-1 joseph-melito frank-gorshin aaron-michael-lacey vernon-campbell-1 simon-jones-1 carol-florence irma-st-paule frederick-strother charles-techman rick-warner anthony-chip-brienza-1 bruce-kirkpatrick-1 wilfred-williams-1 joilet-harris-1 drucie-mcdaniel john-blaisse-1 louis-lippa-1 stan-kang-1 pat-dias-1 felix-pire-1 karl-warren-1 joseph-mckenna stephen-bridgewater ray-huffman-1 charley-scalies paul-meshejian-1 kevin-thigpen jann-ellis-1 michael-ryan-segal korchenko-1 robert-oneill-1 harry-otoole-1 chuck-jeffreys barry-price-1 john-panzarella janet-zappala-1 lisa-talerico tiffany-baldwin cj-byrnes tom-detrik joe-gerety renee-spei bonnie-loev raymond-mamrak allelon-ruggiero thang sal-mazzotta
12-years-a-slave,steve-mcqueen-1,chiwetel-ejiofor michael-fassbender lupita-nyongo benedict-cumberbatch paul-dano sarah-paulson adepero-oduye scoot-mcnairy paul-giamatti brad-pitt michael-kenneth-williams alfre-woodard chris-chalk taran-killam-1 bill-camp kelsey-scott bryan-batt quvenzhane-wallis garret-dillahunt dwight-henry dickie-gravois ashley-dyke cameron-zeigler tony-bentley christopher-berry mister-mackey-jr craig-tate storm-reid tom-proctor marc-macaulay vivian-fleming-alvarez douglas-m-griffin john-mcconnell marcus-lyle-brown richard-holden rob-steinberg anwan-glover james-c-victor liza-j-bennett nicole-collins jd-evermore andy-dylan deneen-tyler mustafa-harris gregory-bright austin-purnell thomas-francis-murphy andre-shanks kelvin-harrison-jr scott-m-jefferson isaiah-jackson topsy-chapman devin-maurice-evans jay-huguley devyn-a-tyler willo-jean-baptiste jason-ament jon-arthur-1 sean-paul-braud blake-burt carroll-burt joseph-randy-causin edward-j-clare jj-coker haylie-creppel justin-edward-davis emily-d-haley jim-johnson mark-joyce john-c-klein cynthia-leblanc elton-leblanc gerard-jerry-lewis kevonte-mcdonald ritchie-montgomery myesha-tiara jason-owen shawn-parsons haley-powell wayne-pere terrell-ransom-jr erin-rementer andre-robinson corrina-roshea-bobb katherine-jeanie-russell jarett-shorts chaz-smith tyler-soerries tre-tureaud justin-christopher-vaughn bob-walker-1 caroline-grace-williamson timothy-wyant
13-going-on-30,gary-winick,jennifer-garner mark-ruffalo judy-greer andy-serkis christa-b-allen-2 sean-marquette alexandra-kyle kathy-baker phil-reeves lynn-collins samuel-ball susan-egan marcia-debonis kiersten-warren-1 scout-taylor-compton jim-gaffigan alex-black ashley-benson brie-larson brittany-curran renee-olstead kayla-hickson nick-olig steven-strozza maz-jobrani joe-grifasi mary-pat-gleason megan-lusk julia-roth sarah-loew philip-pavel robinne-lee benita-krista-nall catherine-combs gia-mantegna sydni-beaudoin george-hine irena-violette ian-barford sara-swain corena-chase crystal-michelle nadine-ellis adrian-armas carmit-bachar tyce-diorio stacey-harper brandon-henschel kadee-sweeney kimberly-wyatt nancy-omeara tara-battani nicole-abisinio
27-dresses,anne-fletcher,katherine-heigl james-marsden malin-akerman judy-greer edward-burns melora-hardin brian-kerwin maulik-pancholy-1 david-castro krysten-ritter michael-ziegfeld jennifer-lim-1 danielle-skraastad yetta-gottesman erin-fogel bern-cohen brigitte-bourdeau peyton-list-2 charli-barcena jane-pfitsch laksh-singh lyralen-kaye ronald-guttman ron-simons robert-clohessy michael-mosley alyssa-bresnahan ellen-h-schwartz jennifer-bassey alexa-havins richard-orourke
50-first-dates,peter-segal,adam-sandler drew-barrymore rob-schneider-1 sean-astin lusia-strus dan-aykroyd blake-clark amy-hill allen-covert maya-rudolph pomaikai-brown jonathan-loughran peter-dante dom-magwili jackie-sandler jd-donaruma lynn-collins wayne-federman esmond-chung kristin-bauer-van-straten nectar-rose virginia-reece katheryn-winnick kent-avenido nika-williams brenda-vivian peter-chen kevin-james-1 joe-nakashima anne-stedman sharon-omi glen-chin aukuso-gus-puluti-sr ishtar-uhvana chantell-d-christopher lin-yan nicola-hersh melissa-lawner david-suapaia michael-k-osborn denise-bee albert-chi brian-l-keaulana americus-abesamis jessica-bowman paul-edney darin-fujimori jordan-kirkwood michelle-lee anthony-patricio mark-pinkosh missi-pyle darlena-roberts john-patrick-shulak meilinda-cecilia-soerjoko
big-daddy,dennis-dugan,adam-sandler joey-lauren-adams kristy-swanson cole-sprouse jon-stewart leslie-mann allen-covert rob-schneider-1 peter-dante steve-buscemi dylan-sprouse josh-mostel joseph-bologna jonathan-loughran tim-herlihy edmund-lyndeck larkin-malloy deborah-s-craig jared-sandler jackie-sandler
300,zack-snyder,gerard-butler lena-headey dominic-west david-wenham vincent-regan michael-fassbender tom-wisdom andrew-tiernan andrew-pleavin rodrigo-santoro giovani-cimmino tyler-neitzel stephen-mchattie eli-snyder tim-connolly-1 marie-julie-rivest peter-mensah arthur-holden michael-sinelnikoff kelly-craig greg-kramer alex-ivanovici tom-rack-1 david-francis james-bradford sebastian-st-germain john-dunn-hill dennis-st-john neil-napier dylan-smith maurizio-terrazzano kwasi-songui alexandra-beaton frederic-smith-1 loucas-minchillo nicholas-minchillo andrew-shaver marcel-jeannin robin-wilcock robert-paradis jere-gillis jeremy-thibodeau tyrone-benskin robert-maillet patrick-sabongui david-schaap leon-laderach dave-lapommeray vervi-mauricio charles-papasoff isabelle-champeau veronique-natale-szalankiewicz maeva-nadon david-thibodeau jean-michel-pare stewart-myiow andreanne-ross sara-giacalone ariadne-bourbonniere isabelle-fournel sandrine-merette-attiow danielle-hubbard elisabeth-etienne ruan-vibegaard genevieve-guilbault bonnie-mak amelie-sorel caroline-aspirot gina-gagnon tania-trudell stephanie-aubry mercedes-leggett stephania-gambaroff chanelle-lamothe sabrina-jasmine-guilbault manny-cortez-tuazon atif-y-siddiqi camille-rizkallah trudi-hanley neon-cobran gary-a-hecker devin-delorme deke-richards darren-shahlavi marc-trottier duy-vo-van agnieshka-wnorowska-1 david-leitch
