310-to-yuma-2007,2007,western
10-things-i-hate-about-you,1999,drama comedy romance
12-angry-men,1957,drama
twelve-monkeys,1995,thriller science-fiction mystery
12-years-a-slave,2013,history drama
13-going-on-30,2004,fantasy comedy romance
27-dresses,2008,comedy romance
50-first-dates,2004,romance comedy
big-daddy,1999,drama comedy
300,2006,action adventure war
500-days-of-summer,2009,romance comedy drama
2001-a-space-odyssey,1968,adventure science-fiction mystery
20000-leagues-under-the-sea-1954,1954,science-fiction adventure
abbott-and-costello-meet-dr-jekyll-and-mr-hyde,1953,comedy science-fiction horror
abbott-and-costello-meet-frankenstein,1948,horror comedy
abbott-and-costello-meet-the-invisible-man,1951,comedy horror
abbott-and-costello-meet-the-mummy,1955,comedy horror
across-the-universe,2007,romance fantasy drama
adaptation,2002,drama crime comedy
the-adventures-of-baron-munchausen,1988,family action adventure fantasy comedy
airplane,1980,comedy
jamaica-inn,1939,adventure crime
sabotage,1936,drama thriller
the-39-steps,1935,mystery action thriller
easy-virtue,1928,drama thriller
alien,1979,horror science-fiction
all-about-eve,1950,drama
all-that-jazz,1979,drama
amadeus,1984,music history drama
american-beauty,1999,drama
american-graffiti,1973,drama comedy
an-american-in-paris,1951,music drama comedy romance
american-psycho,2000,drama horror thriller crime
amour,2012,drama romance
analyze-this,1999,comedy crime
analyze-that,2002,crime comedy
anchorman-the-legend-of-ron-burgundy,2004,comedy
anchorman-2-the-legend-continues,2013,comedy
angels-demons,2009,mystery thriller
anger-management,2003,comedy
angry-video-game-nerd-the-movie,2014,adventure comedy science-fiction
animal-house,1978,comedy
annie-hall,1977,drama comedy romance
annihilation,2018,horror science-fiction
antonio-gaudi,1984,documentary
anywhere-but-here,1999,comedy drama romance
apocalypse-now,1979,war drama
apollo-13,1995,history drama
argo,2012,drama thriller
armageddon,1998,thriller adventure action science-fiction
arrival-2016,2016,mystery drama science-fiction
as-good-as-it-gets,1997,romance comedy
the-assassination-of-jesse-james-by-the-coward-robert-ford,2007,action western drama
atonement,2007,romance drama
austin-powers-in-goldmember,2002,science-fiction crime comedy
austin-powers-international-man-of-mystery,1997,science-fiction crime comedy
austin-powers-the-spy-who-shagged-me,1999,adventure comedy crime science-fiction
avatar,2009,fantasy action adventure science-fiction
the-aviator,2004,drama
away-we-go,2009,romance comedy drama
babe,1995,comedy family drama fantasy
balto,1995,family animation adventure
bananas,1971,comedy
the-banger-sisters,2002,comedy drama
barefoot-in-the-park,1967,comedy romance
beasts-of-the-southern-wild,2012,drama
the-beautician-and-the-beast,1997,comedy romance
a-beautiful-mind,2001,romance drama
becoming-jane,2007,romance drama
bedazzled-2000,2000,comedy romance fantasy
before-sunrise,1995,romance drama
before-sunset,2004,drama romance
begin-again,2013,music drama comedy romance
being-john-malkovich,1999,drama comedy fantasy
being-there,1979,drama comedy
bend-it-like-beckham,2002,romance comedy drama
best-in-show,2000,comedy
bicentennial-man,1999,science-fiction comedy drama
big,1988,drama romance family fantasy comedy
the-big-lebowski,1998,crime comedy
the-big-sleep,1946,crime mystery thriller
the-big-year,2011,comedy
the-birdcage,1996,comedy
birdman-or-the-unexpected-virtue-of-ignorance,2014,comedy drama
the-birds,1963,horror
black-beauty-1994,1994,family action adventure drama
the-black-stallion,1979,adventure family
black-swan,2010,drama thriller horror
blades-of-glory,2007,comedy
the-bqe,2007,music
the-blind-side,2009,drama
blood-diamond,2006,thriller action drama
blue-crush,2002,adventure romance drama
honey,2003,music family romance
josie-and-the-pussycats,2001,comedy music
the-blues-brothers,1980,comedy action crime music
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,2006,comedy
bottle-rocket-1996,1996,comedy crime drama
bowling-for-columbine,2002,documentary
the-brave-little-toaster,1987,adventure music comedy fantasy family animation
braveheart,1995,drama action war history
brazil,1985,comedy science-fiction
breakfast-at-tiffanys,1961,romance drama comedy
the-break-up,2006,comedy romance
brewsters-millions-1985,1985,comedy
brick,2005,mystery drama
bridget-joness-diary,2001,comedy romance drama
bridget-jones-the-edge-of-reason,2004,comedy romance
bringing-down-the-house,2003,comedy
the-broadway-melody,1929,drama romance music
brokeback-mountain,2005,romance drama
brother-bear,2003,animation adventure family
the-brothers-bloom,2008,adventure comedy drama romance
burn-after-reading,2008,comedy drama
butch-cassidy-and-the-sundance-kid,1969,western
the-butterfly-effect,2004,thriller science-fiction
the-cabin-in-the-woods,2011,comedy thriller horror
caddyshack,1980,comedy
cadillac-records,2008,history music drama
capote,2005,crime drama
casablanca,1942,romance drama
casino-royale,1967,action adventure comedy
casper,1995,family comedy fantasy
cast-away,2000,adventure drama
cat-on-a-hot-tin-roof,1958,romance drama
catch-22,1970,drama comedy war
